Top pages,Clicks,Impressions,CTR,service,category,bato
https://www.tabnak.ir/fa/news/1172479/کدام-کالای-ایرانی-بیشترین-طرفدار-را-در-ترکیه-دارد,2508,37576,6.67%,1,9,0
https://www.tabnak.ir/fa/news/1174569/عوامل-آسیب-رسان-به-کبد-را-جدی-بگیرید,2503,30375,8.24%,1,9,0
https://www.tabnak.ir/fa/news/1171801/راهنمایی-کامل-برای-خرید-ارزان‌ترین-بلیط-کرمانشاه,2502,40484,6.18%,1,1,0
https://www.tabnak.ir/fa/news/1180040/نکاتی-برای-داشتن-یک-خواب-خوب-شبانه,2501,43737,5.72%,1,0,0
https://www.tabnak.ir/fa/news/1182626/معرفی-وام-جدید-بانک-آینده-بدون-چک-و-ضامن-و-در-قالب-یک-کارت-بانکی,2497,48081,5.19%,1,6,0
https://www.tabnak.ir/fa/news/1180246/هشدار-شدیداللحن-روسیه-درباره-استقرار-نیروهای-ناتو-در-اوکراینآموزش-24-هزار-نظامی-اوکراینی-توسط-کشورهای-اروپایی,2495,18408,13.55%,1,6,0
https://www.tabnak.ir/fa/news/1181883/برکناری-معاون-استقلال-درپی-ماجرای-کمپ-حجازی,2487,32186,7.73%,2,3,0
https://www.tabnak.ir/fa/news/1172782/کیومرث-پوراحمد-کاملاً-تنها-بود,2480,52747,4.7%,1,2,0
https://www.tabnak.ir/fa/news/1179061/نماینده-ایران-اقدامات-قهری-یکجانبه-باید-فورا-پایان-یابد,2476,30479,8.12%,1,1,0
https://www.tabnak.ir/fa/news/1183114/نامه-پژمان‌فر-به-زلفی‌گل-درباره-متقلبین-کنکور,2469,46803,5.28%,1,4,0
https://www.tabnak.ir/fa/news/1179690/علی-کریمی-کلاهبرداری-از-خواهرش-را-تکذیب-نکرد,2454,11819,20.76%,2,0,0
https://www.tabnak.ir/fa/news/1173481/ترین‌های-بورس-ایران-۱۱-اردیبهشت-۱۴۰۲,2453,17536,13.99%,2,1,0
https://www.tabnak.ir/fa/news/1180435/مجازات-افرادی-که-بدون-مجوز-به-حج-می‌روند-اعلام-شد,2451,36016,6.81%,1,5,0
https://www.tabnak.ir/fa/news/1181472/توصیه-دادستان-کل-کشور-به-مدیران-بورس,2451,24991,9.81%,1,2,0
https://www.tabnak.ir/fa/news/1172816/واکنش-حسن-روشن-به-شادی-خاص-بیرانوند,2447,18175,13.46%,1,6,0
